# phase	collection	subject	payload
# phase: sources | findings | frame | derived | judgments | open (write order, top to bottom)
# collection: sources' write target ("-", written directly into the record's `sources:`
#   block) or the `kpop add --in` target for every other phase (known | judgments | open)
# subject: the entry id
# payload: for sources, the rendered `sources:` sub-block for that id, its lines joined
#   by literal \n (run.sh expands them with `printf '%b'`); for every other phase, the
#   exact JSON `kpop add` takes as its VALUES argument
sources	-	paper.rotation	name: 'Rubin, Ford & Thonnard (1980): 21 Sc galaxies'\nurl: https://articles.adsabs.harvard.edu/pdf/1980ApJ...238..471R\nread: '2026-09-19'
sources	-	paper.sparc	name: 'Lelli, McGaugh & Schombert (2016): SPARC, 175 disk galaxies'\nurl: https://arxiv.org/abs/1606.09251v1\nread: '2026-09-19'
sources	-	paper.rar	name: 'McGaugh, Lelli & Schombert (2016): radial acceleration relation'\nurl: https://arxiv.org/abs/1609.05917v1\nread: '2026-09-19'
sources	-	paper.lensing	name: 'Clowe et al. (2006): Bullet Cluster weak lensing'\nurl: https://arxiv.org/abs/astro-ph/0608407v1\nread: '2026-09-19'
sources	-	paper.cmb	name: Planck 2018 VI, cosmological parameters, corrected 2021\nurl: https://arxiv.org/abs/1807.06209v4\nread: '2026-09-19'
sources	-	paper.lz	name: 'LZ first search, 2023 version: 60 live days'\nurl: https://arxiv.org/abs/2207.03764v4\nread: '2026-09-19'
sources	-	research.protocol	name: Scope and assumptions of this worked literature example\nfile: README.md\nread: '2026-09-19'
findings	known	rotation.sample_size	{"name": "Sc galaxies in the Rubin sample", "v": 21, "from": "paper.rotation", "at": "p. 471, abstract", "fidelity": "quoted", "unit": "galaxies"}
findings	known	rotation.radial_range	{"name": "Reported galaxy radius range", "v": "4–122 kpc, using H0 = 50 km/s/Mpc in that paper.", "from": "paper.rotation", "at": "p. 471, abstract", "fidelity": "paraphrase"}
findings	known	rotation.method	{"name": "How the rotation curves were obtained", "v": "Major-axis spectra of high-inclination Sc galaxies, extending to faint outer regions.", "from": "paper.rotation", "at": "p. 471, abstract", "fidelity": "paraphrase"}
findings	known	rotation.finding	{"name": "Non-falling outer rotation curves", "v": "Neither high- nor low-luminosity Sc galaxies in the sample have falling rotation curves; most still rise slowly at the farthest measured point.", "from": "paper.rotation", "at": "p. 471, abstract", "fidelity": "paraphrase"}
findings	known	rotation.author_inference	{"name": "Mass beyond the optical image, as the authors infer it", "v": "The authors infer significant mass beyond the optical image across the sampled Sc luminosities.", "from": "paper.rotation", "at": "p. 471, abstract; distinguish inference from the measured velocities", "fidelity": "paraphrase"}
findings	known	sparc.sample_size	{"name": "Disk galaxies in SPARC", "v": 175, "from": "paper.sparc", "at": "Abstract", "fidelity": "quoted", "unit": "galaxies"}
findings	known	sparc.wavelength	{"name": "Spitzer photometry wavelength", "v": 3.6, "from": "paper.sparc", "at": "Abstract", "fidelity": "quoted", "unit": "micrometres"}
findings	known	sparc.inputs	{"name": "Two observational inputs to the mass models", "v": "Spitzer 3.6-micrometre surface photometry and rotation curves from previous HI/H-alpha studies.", "from": "paper.sparc", "at": "Abstract", "fidelity": "paraphrase"}
findings	known	sparc.morphologies	{"name": "Morphological coverage of the catalog", "v": "S0 through irregular galaxies, spanning broad luminosity and surface-brightness ranges.", "from": "paper.sparc", "at": "Abstract", "fidelity": "paraphrase"}
findings	known	sparc.disk_mass_to_light	{"name": "Adopted stellar disk mass-to-light ratio", "v": 0.5, "from": "paper.sparc", "at": "Abstract; assumed M/L at 3.6 micrometres", "fidelity": "quoted", "unit": "solar mass / solar luminosity"}
